Facility,CurrPop,RatedCap,Cap%,PIPI,PIPO,ProjPop,ProjPop%,TargetPop,PopAdjmt
CANAAN USP,1045,640,63,24,65,1004,57,965,-39
CANAAN USP SCP,121,128,-5,9,7,123,-4,121,-2
CANAAN USP-CHALLENGE,119,80,49,0,7,112,40,80,-32
CANAAN USP-HOLDOVER,55,160,-66,0,53,2,-99,160,158
CANAAN USP-RDAP,110,80,38,11,10,111,39,80,-31
CARSWELL FMC SCP (F),305,314,-3,28,19,314,0,316,2
CARSWELL FMC-ADMIN (F),19,24,-21,1,1,19,-21,19,0
CARSWELL FMC-CRON CARE(F),110,186,-41,22,2,130,-30,186,56
CARSWELL FMC-LCP (F),0,36,0,20,0,20,-44,36,16
CARSWELL FMC-LOW (F),693,386,80,18,28,683,77,489,-194
CARSWELL FMC-MED SURG (F),51,91,-44,7,3,55,-40,91,36
CARSWELL FMC-MENT HLTH(F),75,106,-29,7,0,82,-23,106,24
CARSWELL FMC-RDAP (F),51,97,-47,3,5,49,-49,97,48
CHICAGO MCC CADRE,95,88,8,15,16,94,7,88,-6
CHICAGO MCC-FEMALE,14,19,-26,0,1,13,-32,19,6
CHICAGO MCC-MALE,471,286,65,3,47,427,49,286,-141
CIBOLA COUNTY CI,1045,1116,-6,202,143,1104,-1,1116,12
COLEMAN FCI LOW-RDAP,139,128,9,2,0,141,10,128,-13
COLEMAN FCI MEDIUM,1461,1056,38,57,63,1455,38,1349,-106
COLEMAN FCI SCP(F),400,512,-22,34,19,415,-19,515,100
COLEMAN FCI-LOW,1793,1408,27,93,67,1819,29,1804,-15
COLEMAN FCI-SKILLS,56,96,-42,1,1,56,-42,96,40
COLEMAN I USP,1298,880,48,98,64,1332,51,1326,-6
COLEMAN I USP-CHALLENGE,111,80,39,1,5,107,34,80,-27
COLEMAN II USP,1259,800,57,54,51,1262,58,1206,-56
COLEMAN II USP-CHALLENGE,89,78,14,1,2,88,13,78,-10
COLEMAN II USP-RDAP,107,78,37,8,3,112,44,78,-34
CUMBERLAND FCI,933,672,39,52,74,911,36,858,-53
CUMBERLAND FCI SCP,113,128,-12,13,12,114,-11,121,7
CUMBERLAND FCI SCP-RDAP,132,128,3,0,7,125,-2,128,3
CUMBERLAND FCI-RDAP,142,96,48,2,4,140,46,96,-44
D. RAY JAMES CORR FACL CI,2067,2507,-18,78,76,2069,-17,2507,438
DALBY CI,1563,1921,-19,140,120,1583,-18,1921,338
DANBURY FCI (M),515,412,25,70,24,561,36,528,-33
DANBURY FCI SCP (F),194,146,33,23,9,208,42,147,-61
DANBURY FCI-RDAP (M),96,96,0,10,5,101,5,96,-5
DANBURY FCI-SKILLS (M),48,46,4,1,1,48,4,46,-2
DEVENS FMC SCP,130,122,7,9,3,136,11,116,-20
DEVENS FMC-CHRONIC CARE,239,364,-34,8,6,241,-34,364,123
DEVENS FMC-LOW (M),541,448,21,29,17,553,23,574,21
DEVENS FMC-MENT HLTH,157,142,11,14,2,169,19,142,-27
DEVENS FMC-SEX OFF PGM,105,112,-6,4,4,105,-6,112,7
DUBLIN FCI (F),817,590,38,75,66,826,40,748,-78
DUBLIN FCI SCP (F),200,194,3,22,18,204,5,195,-9
DUBLIN FCI-RDAP (F),130,112,16,1,8,123,10,112,-11
DULUTH FPC,455,753,-40,39,21,473,-37,714,241
DULUTH FPC-RDAP,122,148,-18,1,14,109,-26,148,39
EDEN DC,1316,1438,-8,102,114,1304,-9,1438,134
EDGEFIELD FCI,1445,1152,25,63,50,1458,27,1472,14
EDGEFIELD FCI SCP,364,384,-5,32,19,377,-2,364,-13
EDGEFIELD FCI SCP-RDAP,117,128,-9,5,5,117,-9,128,11
EL RENO FCI,861,540,59,35,32,864,60,690,-174
EL RENO FCI SCP,245,216,13,14,5,254,18,205,-49
EL RENO FCI-RDAP,148,180,-18,0,6,142,-21,180,38
ELKTON FCI,1741,1408,24,126,63,1804,28,1804,0
ELKTON FCI FSL,342,384,-11,6,12,336,-12,384,48
ELKTON FCI FSL-CADRE,123,128,-4,2,4,121,-5,128,7
ELKTON FCI-RDAP,143,128,12,0,9,134,5,128,-6
ENGLEWOOD FCI,577,362,59,40,30,587,62,464,-123
ENGLEWOOD FCI DET CTR,175,112,56,5,15,165,47,112,-53
ENGLEWOOD FCI SCP,153,126,21,8,11,150,19,119,-31
ENGLEWOOD FCI-RDAP,60,31,94,1,3,58,87,31,-27
ESTILL FCI,982,768,28,44,56,970,26,981,11
ESTILL FCI SCP,261,256,2,23,7,277,8,243,-34
FAIRTON FCI,1033,722,43,44,63,1014,40,922,-92
FAIRTON FCI SCP,113,104,9,8,7,114,10,99,-15
FAIRTON FCI-RDAP,67,102,-34,6,3,70,-31,102,32
FAIRTON FCI-SPEC UNIT,60,54,11,0,2,58,7,54,-4
FLORENCE ADM-CONTROL UNIT,109,78,40,2,4,107,37,78,-29
FLORENCE FCI,889,651,37,66,65,890,37,832,-58
FLORENCE FCI SCP,323,384,-16,38,16,345,-10,364,19
FLORENCE FCI SCP-RDAP,122,128,-5,4,17,109,-15,128,19
FLORENCE FCI-RDAP,100,95,5,3,5,98,3,95,-3
FLORENCE HIGH USP,762,480,59,44,17,789,64,724,-65
FLORENCE HIGH USP-STAGES,12,70,-83,0,1,11,-84,70,59
FLORENCE HIGH USP-STPD,15,80,-81,0,1,14,-82,80,66
FLORENCE MAX USP,296,412,-28,10,2,304,-26,412,108
FORREST CITY FCI,1609,1280,26,115,54,1670,30,1640,-30
FORREST CITY FCI SCP,273,256,7,17,29,261,2,243,-18
FORREST CITY FCI-RDAP,113,256,-56,5,7,111,-57,256,145
FORREST CITY MED FCI,1326,1029,29,104,50,1380,34,1315,-65
FORREST CITY MED FCI-RDAP,130,90,44,13,3,140,56,90,-50
FORT DIX FCI SAT CAMP,383,334,15,9,30,362,8,317,-45
FORT DIX FCI-GEN POP,3924,3781,4,174,98,4000,6,4845,845
FORT DIX FCI-RDAP,212,260,-18,1,13,200,-23,260,60
FORT WORTH FCI - MEDICAL,197,210,-6,4,10,191,-9,210,19
FORT WORTH FCI-GEN POP,1327,1059,25,79,55,1351,28,1357,6
FORT WORTH FCI-MENT HLTH,22,30,-27,1,2,21,-30,30,9
FT WORTH FCI DET CTR,113,63,79,8,4,117,86,63,-54
FT WORTH FCI-RDAP,222,193,15,2,5,219,13,193,-26
GILMER FCI,1402,1152,22,131,63,1470,28,1472,2
GILMER FCI SCP,81,128,-37,8,6,83,-35,121,38
GREAT PLAINS CI,1617,1940,-17,80,32,1665,-14,1940,275
GREENVILLE FCI,1021,726,41,36,61,996,37,927,-69
GREENVILLE FCI SCP F,200,128,56,24,10,214,67,129,-85
GREENVILLE FCI-RDAP (F),147,128,15,8,4,151,18,128,-23
GUAYNABO MDC CAD-FEMALE,18,40,-55,2,3,17,-57,40,23
GUAYNABO MDC CAD-MALE,122,140,-13,9,15,116,-17,140,24
GUAYNABO MDC-FEMALE,60,61,-2,0,1,59,-3,61,2
GUAYNABO MDC-MALE,1113,656,70,3,20,1096,67,656,-440
HAZELTON FCI,1470,1152,28,58,64,1464,27,1472,8
HAZELTON FCI-FEMALE,502,384,31,70,28,544,42,487,-57
HAZELTON FCI-FEMALE RDAP,146,118,24,0,1,145,23,118,-27
HAZELTON USP,1278,881,45,101,48,1331,51,1328,-3
HAZELTON USP SCP,103,256,-60,10,2,111,-57,243,132
HAZELTON USP-CHALLENGE,94,76,24,0,1,93,22,76,-17
HERLONG FCI,1154,1032,12,72,53,1173,14,1318,145
HERLONG FCI SCP,106,128,-17,6,12,100,-22,121,21
HERLONG FCI-RDAP,80,120,-33,4,2,82,-32,120,38
HONOLULU FDC (F),59,78,-24,1,4,56,-28,78,22
HONOLULU FDC (M),76,234,-68,0,1,75,-68,234,159
HONOLULU FDC - INS,30,78,-62,0,3,27,-65,78,51
HONOLULU FDC-CADRE,89,176,-49,9,14,84,-52,176,92
HONOLULU FDC-HOLDOVER,140,124,13,0,11,129,4,124,-5
HOUSTON FDC CAD-MALE,83,124,-33,10,12,81,-35,124,43
HOUSTON FDC SHT TRM SEN-F,45,67,-33,18,16,47,-30,67,20
HOUSTON FDC-FEMALE,55,39,41,1,6,50,28,39,-11
HOUSTON FDC-MALE,675,468,44,0,16,659,41,468,-191
JESUP FCI,991,744,33,36,26,1001,35,950,-51
JESUP FCI FSL,458,444,3,18,23,453,2,444,-9
JESUP FCI FSL-RDAP,58,64,-9,4,1,61,-5,64,3
JESUP FCI SCP,150,128,17,17,7,160,25,121,-39
LA TUNA FCI,593,420,41,45,31,607,45,538,-69
LA TUNA FCI FSL,66,110,-40,21,6,81,-26,110,29
LA TUNA FCI FSL-CADRE,131,120,9,2,14,119,-1,120,1
LA TUNA FCI SCP,269,243,11,10,13,266,9,230,-36
LA TUNA FCI-MEX TRTY EXCH,0,28,0,2,0,2,-93,28,26
LA TUNA FCI-RDAP,125,72,74,6,16,115,60,72,-43
LEAVENWORTH USP,1189,979,21,130,61,1258,28,1251,-7
LEAVENWORTH USP SCP,313,282,11,22,25,310,10,267,-43
LEAVENWORTH USP SCP-RDP,103,90,14,11,1,113,26,90,-23
LEAVENWORTH USP-LCP,68,80,-15,4,0,72,-10,80,8
LEAVENWORTH USP-RDAP,112,75,49,1,3,110,47,75,-35
LEE USP,1233,880,40,135,123,1245,41,1326,81
LEE USP SCP,95,128,-26,4,3,96,-25,121,25
LEE USP-CHALLENGE,116,80,45,0,11,105,31,80,-25
LEWISBURG USP,179,160,12,1,1,179,12,241,62
LEWISBURG USP SCP,297,352,-16,20,7,310,-12,334,24
LEWISBURG USP SCP-RDAP,160,200,-20,2,4,158,-21,200,42
LEWISBURG USP-SMU,1176,771,53,65,65,1176,53,771,-405
LEXINGTON FMC SCP(F),262,267,-2,32,17,277,4,268,-9
LEXINGTON FMC-MALE,969,618,57,12,46,935,51,792,-143
LEXINGTON FMC-MED/SURG(M),326,573,-43,13,22,317,-45,573,256
LEXINGTON FMC-RDAP M,122,105,16,12,2,132,26,105,-27
LOMPOC FCI,1126,773,46,54,37,1143,48,991,-152
LOMPOC FCI RDAP,107,87,23,1,10,98,13,87,-11
LOMPOC USP,1223,1009,21,66,70,1219,21,1289,70
LOMPOC USP SCP,281,276,2,20,14,287,4,262,-25
LOMPOC USP SCP N,146,160,-9,18,5,159,-1,152,-7
LORETTO FCI,945,677,40,21,61,905,34,868,-37
LORETTO FCI SCP,111,107,4,3,8,106,-1,101,-5
LOS ANGELES MDC-CADRE,127,136,-7,31,20,138,1,136,-2
LOS ANGELES MDC-FEMALE,40,53,-25,2,5,37,-30,53,16
LOS ANGELES MDC-MALE,551,546,1,4,31,524,-4,546,22
MANCHESTER FCI,960,760,26,51,37,974,28,971,-3
MANCHESTER FCI SCP,296,512,-42,16,17,295,-42,485,190
MARIANNA FCI SCP (F),197,296,-33,21,11,207,-30,298,91
MARIANNA FCI-MALE,977,662,48,52,32,997,51,846,-151
MARIANNA FCI-RDAP,100,87,15,5,7,98,13,87,-11
MARIANNA FCI-SPEC UNIT,62,68,-9,0,0,62,-9,68,6
MARION USP SCP,201,200,1,9,2,208,4,190,-18
MARION USP-CMU,37,52,-29,2,1,38,-27,52,14
MARION USP-GP,879,633,39,39,25,893,41,809,-84
MARION USP-RDAP,114,95,20,12,2,124,31,95,-29
MARION USP-SEX OFF PGM,44,70,-37,0,1,43,-39,70,27
MC CREARY USP,1338,880,52,103,61,1380,57,1326,-54
MC CREARY USP SCP,148,172,-14,19,10,157,-9,163,6
MC CREARY USP-CHALLENGE,91,75,21,0,0,91,21,75,-16
MCDOWELL FCI,1301,1152,13,115,87,1329,15,1472,143
MCDOWELL FCI SCP,97,143,-32,5,3,99,-31,136,37
MCKEAN FCI,1031,856,20,62,43,1050,23,1094,44
MCKEAN FCI SCP,125,146,-14,16,8,133,-9,138,5
MCKEAN FCI SCP-RDAP,132,146,-10,7,13,126,-14,146,20
MCRAE CI,1634,2077,-21,49,63,1620,-22,2077,457
MEMPHIS FCI,898,635,41,35,62,871,37,811,-60
MEMPHIS FCI DET CTR,22,15,47,0,1,21,40,15,-6
MEMPHIS FCI SCP,245,296,-17,12,14,243,-18,281,38
MEMPHIS FCI-RDAP,97,72,35,4,1,100,39,72,-28
MENDOTA FCI,1067,1152,-7,46,104,1009,-12,1472,463
MENDOTA FCI SCP,90,128,-30,7,4,93,-27,121,28
MIAMI FCI,789,554,42,38,27,800,44,710,-90
MIAMI FCI SCP,283,198,43,18,10,291,47,188,-103
MIAMI FCI SCP-RDAP,91,66,38,2,4,89,35,66,-23
MIAMI FCI-RDAP,213,224,-5,32,13,232,4,224,-8
MIAMI FDC CAD-FEMALE,45,126,-64,1,4,42,-67,126,84
MIAMI FDC CAD-MALE,217,252,-14,21,17,221,-12,252,31
MIAMI FDC-FEMALES,75,79,-5,2,14,63,-20,79,16
MIAMI FDC-MALES,927,871,6,9,226,710,-18,871,161
MILAN FCI,913,644,42,46,49,910,41,825,-85
MILAN FCI CAD-MALE,22,86,-74,1,2,21,-76,86,65
MILAN FCI DET CTR UNIT,251,162,55,0,67,184,14,162,-22
MILAN FCI-LCP,94,99,-5,10,2,102,3,99,-3
MILAN FCI-RDAP,195,186,5,2,9,188,1,186,-2
MONTGOMERY FPC,611,640,-5,42,40,613,-4,607,-6
MONTGOMERY FPC-RDAP,212,280,-24,9,3,218,-22,280,62
MORGANTOWN FCI,641,1034,-38,80,30,691,-33,980,289
MORGANTOWN FCI-RDAP,236,268,-12,8,4,240,-10,268,28
MOSHANNON VALLEY CI,1586,1820,-13,114,77,1623,-11,1820,197
NEW YORK MCC CADRE-MALE,82,96,-15,10,13,79,-18,96,17
NEW YORK MCC-FEMALE,23,34,-32,1,1,23,-32,34,11
NEW YORK MCC-MALE,619,330,88,4,6,617,87,330,-287
NEW YORK MCC-SPEC UNIT,15,14,7,0,0,15,7,14,-1
OAKDALE I FCI,1418,1148,24,77,64,1431,25,1471,40
OAKDALE II FCI SCP,170,124,37,6,14,162,31,118,-44
OAKDALE II FCI-GEN POP,669,672,0,36,38,667,-1,861,194
OAKDALE II FCI-RHU,201,208,-3,4,49,156,-25,208,52
OKLAHOMA FTC (FEMALE),68,74,-8,0,61,7,-91,74,67
OKLAHOMA FTC (MALES),1047,814,29,4,987,64,-92,814,750
OKLAHOMA FTC CADRE-MALE,154,177,-13,5,8,151,-15,177,26
OTISVILLE FCI SCP,113,108,5,14,7,120,11,102,-18
OTISVILLE FCI-GEN POP,680,836,-19,54,27,707,-15,1068,361
OTISVILLE FCI-SPEC UNIT,59,61,-3,0,1,58,-5,61,3
OXFORD FCI,753,518,45,48,28,773,49,662,-111
OXFORD FCI H/O UNIT,0,14,0,0,0,0,0,14,14
OXFORD FCI SCP,141,208,-32,5,14,132,-37,197,65
OXFORD FCI-RDAP,109,56,95,1,1,109,95,56,-53
PEKIN FCI,993,716,39,43,50,986,38,915,-71
PEKIN FCI SCP (M),173,128,35,21,12,182,42,121,-61
PEKIN FCI SCP-RDAP (M),126,128,-2,7,4,129,1,128,-1
PENSACOLA FPC,577,430,34,53,24,606,41,408,-198
PENSACOLA FPC-RDAP,120,69,74,1,3,118,71,69,-49
PETERSBURG FCI,771,563,37,57,17,811,44,721,-90
PETERSBURG FCI SCP,304,296,3,10,9,305,3,281,-24
PETERSBURG FCI-LCP,112,110,2,10,2,120,9,110,-10
PETERSBURG FCI-RDAP,101,102,-1,10,1,110,8,102,-8
PETERSBURG MED FCI,1476,1056,40,38,72,1442,37,1349,-93
PETERSBURG MED FCI-H/0,39,44,-11,0,31,8,-82,44,36
PETERSBURG MED FCI-RDAP,40,86,-53,6,3,43,-50,86,43
PHILADELPHIA FDC CAD-FEM,82,118,-31,11,8,85,-28,118,33
PHILADELPHIA FDC FEMALE,1,38,-97,0,0,1,-97,38,37
PHILADELPHIA FDC MALE,784,584,34,34,35,783,34,584,-199
PHOENIX FCI,845,593,42,53,45,853,44,758,-95
PHOENIX FCI SCP (F),218,204,7,39,14,243,19,205,-38
PHOENIX FCI SCP-RDAP (F),75,68,10,2,4,73,7,68,-5
PHOENIX FCI-DET CTR,13,31,-58,0,12,1,-97,31,30
PHOENIX FCI-RDAP,109,95,15,4,3,110,16,95,-15
PHOENIX FCI-SPEC UNIT,67,58,16,0,0,67,16,58,-9
POLLOCK MED FCI,1531,1152,33,86,117,1500,30,1472,-28
POLLOCK USP,1099,891,23,51,48,1102,24,1343,241
POLLOCK USP SCP,249,256,-3,12,17,244,-5,243,-1
POLLOCK USP-CHALLENGE,104,81,28,0,6,98,21,81,-17
RAY BROOK FCI,783,693,13,42,25,800,15,885,85
RAY BROOK FCI CAD-MALE,17,48,-65,2,1,18,-62,48,30
RAY BROOK FCI DET CTR,2,8,-75,0,0,2,-75,8,6
REEVES CI,2034,2407,-15,212,186,2060,-14,2407,347
REEVES DC,1136,1356,-16,121,124,1133,-16,1356,223
RIVERS CI,1109,1390,-20,28,50,1087,-22,1390,303
RIVERS CI-RDAP,38,60,-37,1,2,37,-38,60,23
ROCHESTER FMC-CADRE,345,274,26,7,20,332,21,274,-58
ROCHESTER FMC-MED SURG,224,325,-31,9,5,228,-30,325,97
ROCHESTER FMC-MENT HLTH,118,185,-36,4,0,122,-34,185,63
SAFFORD FCI,653,475,37,53,38,668,41,609,-59
SAFFORD FCI CAD-MALE,34,27,26,0,6,28,4,27,-1
SAFFORD FCI-RDAP,118,68,74,2,8,112,65,68,-44
SAN DIEGO MCC CAD-MALE,111,96,16,10,21,100,4,96,-4
SAN DIEGO MCC-FEMALE,47,40,18,1,8,40,0,40,0
SAN DIEGO MCC-MALE,884,446,98,1,134,751,68,446,-305
SANDSTONE FCI,961,726,32,70,25,1006,39,930,-76
SANDSTONE FCI CAD-MALE,113,80,41,0,26,87,9,80,-7
SANDSTONE FCI-RDAP,85,128,-34,4,6,83,-35,128,45
SANDSTONE FCI-SPEC UNIT,58,62,-6,0,0,58,-6,62,4
SCHUYLKILL FCI,1026,742,38,38,28,1036,40,948,-88
SCHUYLKILL FCI SCP,251,296,-15,13,12,252,-15,281,29
SCHUYLKILL FCI-RDAP,117,84,39,1,0,118,40,84,-34
SEAGOVILLE FCI,1377,1166,18,90,52,1415,21,1494,79
SEAGOVILLE FCI SCP,136,124,10,14,3,147,19,118,-29
SEAGOVILLE FCI-DET CTR,255,177,44,0,10,245,38,177,-68
SEAGOVILLE FCI-RDAP,221,94,135,1,15,207,120,94,-113
SEATAC FDC,317,273,16,1,46,272,0,273,1
SEATAC FDC (F),26,38,-32,1,2,25,-34,38,13
SEATAC FDC-CADRE F,60,248,-76,12,15,57,-77,248,191
SEATAC FDC-CADRE M,178,248,-28,30,25,183,-26,248,65
SHERIDAN FCI,852,679,25,78,43,887,31,867,-20
SHERIDAN FCI SCP,279,255,9,34,9,304,19,242,-62
SHERIDAN FCI-DET CTR,26,74,-65,13,8,31,-58,74,43
SHERIDAN FCI-HLDOVR,205,114,80,0,31,174,53,114,-60
SHERIDAN FCI-RDAP,119,101,18,2,10,111,10,101,-10
SHERIDAN SCP-RDAP,255,129,98,8,10,253,96,129,-124
SPRINGFIELD MCFP-CADRE,406,406,0,17,9,414,2,406,-8
SPRINGFIELD MCFP-MED SURG,380,429,-11,17,16,381,-11,429,48
SPRINGFIELD MCFP-MH,222,287,-23,10,3,229,-20,287,58
SPRINGFIELD MCFP-RDAP,13,15,-13,1,0,14,-7,15,1
TAFT CI,1755,1770,-1,140,121,1774,0,1770,-4
TAFT CI SCP,422,585,-28,48,26,444,-24,585,141
TALLADEGA FCI,808,624,29,36,26,818,31,797,-21
TALLADEGA FCI SCP,214,148,45,11,2,223,51,140,-83
TALLADEGA FCI SCP-RDAP,77,148,-48,8,6,79,-47,148,69
TALLAHASSEE FCI-DET CTR,92,184,-50,0,46,46,-75,184,138
TALLAHASSEE FCI-FEMALE,741,536,38,57,27,771,44,679,-92
TALLAHASSEE FCI-RDAP-FEMA,98,92,7,0,3,95,3,92,-3
TERM ISL FCI-RDAP,166,90,84,8,14,160,78,90,-70
TERMINAL ISL FCI,979,691,42,76,31,1024,48,886,-138
TERRE HAUTE FCI,699,508,38,63,36,726,43,649,-77
TERRE HAUTE FCI SCP,344,331,4,15,15,344,4,314,-30
TERRE HAUTE FCI-CMU,37,50,-26,2,0,39,-22,50,11
TERRE HAUTE FCI-MH,8,35,-77,0,0,8,-77,35,27
TERRE HAUTE FCI-RDAP,105,61,72,13,2,116,90,61,-55
TERRE HAUTE USP,1185,810,46,167,65,1287,59,1221,-66
TERRE HAUTE USP SCU,54,154,-65,0,0,54,-65,154,100
TERRE HAUTE USP-CHALLENGE,97,81,20,1,6,92,14,81,-11
TERRE HAUTE USP-LCP,110,81,36,3,1,112,38,81,-31
TEXARKANA FCI,929,745,25,43,25,947,27,955,8
TEXARKANA FCI SCP,139,99,40,21,5,155,57,94,-61
TEXARKANA FCI SCP-RDAP,136,105,30,11,7,140,33,105,-35
THOMSON AUSP-SCP,116,208,-44,22,7,131,-37,197,66
THREE RIVERS FCI,1065,792,34,80,72,1073,35,1012,-61
THREE RIVERS FCI SCP,258,256,1,32,15,275,7,243,-32
TUCSON FCI,420,302,39,25,33,412,36,386,-26
TUCSON FCI DET CTR (F),34,18,89,0,0,34,89,18,-16
TUCSON FCI DET CTR (M),258,93,177,0,23,235,153,93,-142
TUCSON USP,1391,891,56,31,31,1391,56,1343,-48
TUCSON USP SCP,137,128,7,12,7,142,11,121,-21
TUCSON USP-CHALLENGE,122,81,51,0,1,121,49,81,-40
VICTORVILLE FCI,1350,1152,17,88,76,1362,18,1472,110
VICTORVILLE II FCI BRAVE,72,96,-25,18,3,87,-9,96,9
VICTORVILLE II FCI SCP-F,239,256,-7,37,18,258,1,257,-1
VICTORVILLE MED II FCI,1212,1056,15,97,74,1235,17,1349,114
VICTORVILLE USP,1250,800,56,56,55,1251,56,1206,-45
VICTORVILLE USP-HOLDOVER,117,160,-27,0,114,3,-98,160,157
WASECA FCI CAD-FEMALE,87,67,30,3,13,77,15,67,-10
WASECA FCI-FEMALE,638,547,17,14,36,616,13,693,77
WASECA FCI-RDAP (F),103,98,5,0,14,89,-9,98,9
WILLIAMSBURG FCI,1418,1152,23,76,40,1454,26,1472,18
WILLIAMSBURG FCI SCP,134,128,5,11,6,139,9,121,-18
YANKTON FPC,319,446,-28,14,16,317,-29,423,106
YANKTON FPC-RDAP,205,238,-14,2,13,194,-18,238,44
YAZOO FCI,1644,1408,17,194,65,1773,26,1804,31
YAZOO FCI SCP,232,256,-9,18,13,237,-7,243,6
YAZOO FCI-RDAP,148,128,16,10,8,150,17,128,-22
YAZOO MED FCI,1379,1152,20,144,44,1479,28,1472,-7
YAZOO USP,416,256,63,167,21,562,120,386,-176
